;i;j;period;weight
387;McLachlan, Geoff;Murtagh, Fionn;3;1.0
388;McLachlan, Geoff;Tibshirani, Robert;3;2.0
389;McLachlan, Geoff;Gilles Celeux;3;1.0
390;McLachlan, Geoff;Adrian Raftery;3;2.0
391;Meulman, Jacqueline;Batagelj, Vladimir;3;1.0
392;Meulman, Jacqueline;Groenen, Patrick J.F.;3;2.0
393;Meulman, Jacqueline;Hastie, Trevor;3;2.0
394;Meulman, Jacqueline;Jajuga, Krzysztof;3;1.0
395;Meulman, Jacqueline;Lausen, Berthold;3;1.0
396;Meulman, Jacqueline;Mirkin, Boris;3;1.0
397;Meulman, Jacqueline;Tibshirani, Robert;3;2.0
398;Meulman, Jacqueline;Gilles Celeux;3;1.0
399;Meulman, Jacqueline;Alain Guenoche;3;1.0
400;Meulman, Jacqueline;Wolfgang A. Gaul;3;2.0
401;Meulman, Jacqueline;Edvin Diday;3;3.0
402;Mirkin, Boris;Murtagh, Fionn;3;1.0
403;Mirkin, Boris;Tibshirani, Robert;3;1.0
404;Mirkin, Boris;Frank Klawonn;3;1.0
405;Mirkin, Boris;Rudolf Kruse;3;1.0
406;Mirkin, Boris;Gilbert Saporta;3;1.0
407;Mirkin, Boris;Edvin Diday;3;1.0
408;Murtagh, Fionn;De Carvalho, Francisco De Assis Tenhorio;3;1.0
409;Murtagh, Fionn;Gilles Celeux;3;2.0
410;Murtagh, Fionn;Adrian Raftery;3;4.0
411;Palumbo, Francesco;Bertrand, Patrice;3;1.0
412;Palumbo, Francesco;McLachlan, Geoff;3;1.0
413;Palumbo, Francesco;Verde, Rosanna;3;1.0
414;Palumbo, Francesco;Wojtek J Krzanowski;3;1.0
415;Riani, Marco;McLachlan, Geoff;3;1.0
416;Riani, Marco;Adrian Raftery;3;1.0
417;Rocci, Roberto;Hastie, Trevor;3;1.0
418;Rocci, Roberto;Kiers, Henk;3;4.0
419;Rocci, Roberto;McLachlan, Geoff;3;1.0
420;Rocci, Roberto;Tibshirani, Robert;3;1.0
421;Rocci, Roberto;Renato Coppi;3;1.0
422;Rocci, Roberto;Vichi, Maurizio;3;2.0
423;Rocci, Roberto;Wolfgang A. Gaul;3;1.0
424;Rocci, Roberto;Gilbert Saporta;3;1.0
425;Rocci, Roberto;Edvin Diday;3;2.0
426;Tibshirani, Robert;Hastie, Trevor;3;8.0
427;Tibshirani, Robert;Wolfgang A. Gaul;3;1.0
428;Tibshirani, Robert;Wojtek J Krzanowski;3;1.0
429;Tibshirani, Robert;Edvin Diday;3;1.0
430;Tibshirani, Robert;Adrian Raftery;3;3.0
431;Van Mechelen Iven;McLachlan, Geoff;3;1.0
432;Van Mechelen Iven;Meulman, Jacqueline;3;1.0
433;Van Mechelen Iven;Mirkin, Boris;3;1.0
434;Van Mechelen Iven;Wolfgang A. Gaul;3;1.0
435;Paula Brito;Bertrand, Patrice;3;1.0
436;Paula Brito;De Carvalho, Francisco De Assis Tenhorio;3;2.0
437;Paula Brito;Gilles Celeux;3;1.0
438;Renato Coppi;Batagelj, Vladimir;3;1.0
439;Renato Coppi;Rocci, Roberto;3;1.0
440;Renato Coppi;Vichi, Maurizio;3;2.0
441;Renato Coppi;Gilbert Saporta;3;1.0
442;Alain Guenoche;Jajuga, Krzysztof;3;1.0
443;Alain Guenoche;Mirkin, Boris;3;1.0
444;Frank Klawonn;Lausen, Berthold;3;1.0
445;Verde, Rosanna;Vichi, Maurizio;3;1.0
446;Verde, Rosanna;Adrian Raftery;3;2.0
447;Vermunt, Jeroen;McLachlan, Geoff;3;1.0
448;Vermunt, Jeroen;Gilles Celeux;3;1.0
449;Vermunt, Jeroen;Wojtek J Krzanowski;3;1.0
450;Vichi, Maurizio;Hastie, Trevor;3;1.0
451;Vichi, Maurizio;Jajuga, Krzysztof;3;1.0
452;Vichi, Maurizio;Kiers, Henk;3;2.0
453;Vichi, Maurizio;Lausen, Berthold;3;1.0
454;Vichi, Maurizio;Mirkin, Boris;3;1.0
455;Vichi, Maurizio;Rocci, Roberto;3;1.0
456;Vichi, Maurizio;Edvin Diday;3;1.0
457;Wolfgang A. Gaul;Geyer-Schulz, Andreas;3;1.0
458;Wojtek J Krzanowski;McLachlan, Geoff;3;3.0
459;Wojtek J Krzanowski;Tibshirani, Robert;3;1.0
460;Gilbert Saporta;Jajuga, Krzysztof;3;1.0
461;Gilbert Saporta;Meulman, Jacqueline;3;1.0
462;Gilbert Saporta;Edvin Diday;3;2.0
463;Edvin Diday;Bertrand, Patrice;3;1.0
